year, gini , top5 ,,,,,,,,,,,,,,,
" 1,980.00 ", 65.09 , 49.05 ,,,,,,,,,,,,,,,
" 1,981.00 ", 65.32 , 50.10 ,,,,,,,,,,,,,,,
" 1,982.00 ", 65.04 , 49.30 ,,,,,,,,,,,,,,,
" 1,983.00 ", 65.03 , 49.33 ,,,,,,,,,,,,,,,
" 1,984.00 ", 65.09 , 50.22 ,,,,,,,,,,,,,,,
" 1,985.00 ", 64.98 , 50.64 ,,,,,,,,,,,,,,,
" 1,986.00 ", 64.71 , 50.53 ,,,,,,,,,,,,,,,
" 1,987.00 ", 64.52 , 50.47 ,,,,,,,,,,,,,,,
" 1,988.00 ", 64.01 , 49.80 ,,,,,,,,,,,,,,,
" 1,989.00 ", 63.90 , 50.48 ,,,,,,,,,,,,,,,
" 1,990.00 ", 63.60 , 50.64 ,,,,,,,,,,,,,,,
" 1,991.00 ", 62.83 , 49.67 ,,,,,,,,,,,,,,,
" 1,992.00 ", 62.31 , 49.93 ,,,,,,,,,,,,,,,
" 1,993.00 ", 61.75 , 49.63 ,,,,,,,,,,,,,,,
" 1,994.00 ", 61.42 , 49.82 ,,,,,,,,,,,,,,,
" 1,995.00 ", 60.95 , 49.18 ,,,,,,,,,,,,,,,
" 1,996.00 ", 60.62 , 49.13 ,,,,,,,,,,,,,,,
" 1,997.00 ", 60.66 , 48.88 ,,,,,,,,,,,,,,,
" 1,998.00 ", 60.49 , 49.64 ,,,,,,,,,,,,,,,
" 1,999.00 ", 60.22 , 50.20 ,,,,,,,,,,,,,,,
" 2,000.00 ", 60.13 , 50.22 ,,,,,,,,,,,,,,,
" 2,001.00 ", 59.64 , 49.67 ,,,,,,,,,,,,,,,
" 2,002.00 ", 59.10 , 49.24 ,,,,,,,,,,,,,,,
" 2,003.00 ", 58.62 , 49.20 ,,,,,,,,,,,,,,,
" 2,004.00 ", 58.24 , 48.97 ,,,,,,,,,,,,,,,
" 2,005.00 ", 57.73 , 48.50 ,,,,,,,,,,,,,,,
" 2,006.00 ", 57.29 , 47.82 ,,,,,,,,,,,,,,,
" 2,007.00 ", 56.68 , 46.70 ,,,,,,,,,,,,,,,
" 2,008.00 ", 56.26 , 45.86 ,,,,,,,,,,,,,,,
" 2,009.00 ", 55.10 , 45.11 ,,,,,,,,,,,,,,,
" 2,010.00 ", 54.67 , 44.22 ,,,,,,,,,,,,,,,
" 2,011.00 ", 54.35 , 43.62 ,,,,,,,,,,,,,,,
" 2,012.00 ", 53.84 , 43.43 ,,,,,,,,,,,,,,,
" 2,013.00 ", 53.40 , 43.04 ,,,,,,,,,,,,,,,
" 2,014.00 ", 53.10 , 43.02 ,,,,,,,,,,,,,,,
" 2,015.00 ", 52.76 , 42.81 ,,,,,,,,,,,,,,,
" 2,016.00 ", 52.29 , 42.60 ,,,,,,,,,,,,,,,
" 2,017.00 ", 51.97 , 42.26 ,,,,,,,,,,,,,,,
" 2,018.00 ", 51.66 , 41.90 ,,,,,,,,,,,,,,,
" 2,019.00 ", 51.65 , 41.80 ,,,,,,,,,,,,,,,
" 2,020.00 ", 51.62 , 41.82 ,,,,,,,,,,,,,,,
" 1,950.00 ", 38.04 , 18.92 ,,,,,,,,,,,,,,,
" 1,951.00 ", 36.66 , 18.39 ,,,,,,,,,,,,,,,
" 1,952.00 ", 37.09 , 18.94 ,,,,,,,,,,,,,,,
" 1,953.00 ", 36.34 , 17.33 ,,,,,,,,,,,,,,,
" 1,954.00 ", 37.42 , 17.94 ,,,,,,,,,,,,,,,
" 1,955.00 ", 36.71 , 17.99 ,,,,,,,,,,,,,,,
" 1,956.00 ", 36.07 , 17.63 ,,,,,,,,,,,,,,,
" 1,957.00 ", 35.45 , 17.14 ,,,,,,,,,,,,,,,
" 1,958.00 ", 35.76 , 16.98 ,,,,,,,,,,,,,,,
" 1,959.00 ", 36.38 , 17.48 ,,,,,,,,,,,,,,,
